order_id,order_value,order_freight,customer_unique_id,customer_state,customer_city,seller_state,seller_state_nunique,seller_id_nunique,product_category_name,product_category_nunique,product_id_nunique,total_weight_g,total_length_cm,total_height_cm,total_width_cm,n_items,is_multi_seller,is_multi_category,is_multi_product,freight_share
00010242fe8c5a6d1ba2dd792cb16214,58.9,13.29,871766c5855e863f6eccc05f988b23cb,RJ,campos dos goytacazes,SP,1,1,cool_stuff,1,1,650.0,28.0,9.0,14.0,1,False,False,False,0.22563667232597623
00018f77f2f0320c557190d7a144bdd3,239.9,19.93,eb28e67c4c0b83846050ddfb8a35d051,SP,santa fe do sul,SP,1,1,pet_shop,1,1,30000.0,50.0,30.0,40.0,1,False,False,False,0.0830762817840767
000229ec398224ef6ca0657da4fc703e,199.0,17.87,3818d81c6709e39d06b2738a8d3a2474,MG,para de minas,MG,1,1,moveis_decoracao,1,1,3050.0,33.0,13.0,33.0,1,False,False,False,0.08979899497487438
00024acbcdf0a6daa1e931b038114c75,12.99,12.79,af861d436cfc08b2c2ddefd0ba074622,SP,atibaia,SP,1,1,perfumaria,1,1,200.0,16.0,10.0,15.0,1,False,False,False,0.9846035411855273
00042b26cf59d7ce69dfabb4e55b4fd9,199.9,18.14,64b576fb70d441e8f1b2d7d446e483c5,SP,varzea paulista,PR,1,1,ferramentas_jardim,1,1,3750.0,35.0,40.0,30.0,1,False,False,False,0.09074537268634317
00048cc3ae777c65dbb7d2a0634bc1ea,21.9,12.69,85c835d128beae5b4ce8602c491bf385,MG,uberaba,SP,1,1,utilidades_domesticas,1,1,450.0,24.0,8.0,15.0,1,False,False,False,0.5794520547945206
00054e8431b9d7675808bcb819fb4a32,19.9,11.85,635d9ac1680f03288e72ada3a1035803,SP,guararapes,SP,1,1,telefonia,1,1,200.0,27.0,5.0,20.0,1,False,False,False,0.5954773869346733
000576fe39319847cbb9d288c5617fa6,810.0,70.75,fda4476abb6307ab3c415b7e6d026526,SP,praia grande,SP,1,1,ferramentas_jardim,1,1,13805.0,35.0,75.0,45.0,1,False,False,False,0.08734567901234568
0005a1a1728c9d785b8e2b08b904576c,145.95,11.65,639d23421f5517f69d0c3d6e6564cf0e,SP,santos,SP,1,1,beleza_saude,1,1,2000.0,30.0,12.0,16.0,1,False,False,False,0.07982185680027408
0005f50442cb953dcd1d21e1fb923495,53.99,11.4,0782c41380992a5a533489063df0eef6,SP,jandira,SP,1,1,livros_tecnicos,1,1,850.0,29.0,3.0,21.0,1,False,False,False,0.21115021300240785
00061f2a7bc09da83e415a52dc8a4af1,59.99,8.88,107e6259485efac66428a56f10801f4f,SP,piracicaba,SP,1,1,beleza_saude,1,1,950.0,35.0,25.0,20.0,1,False,False,False,0.1480246707784631
00063b381e2406b52ad429470734ebd5,45.0,12.98,3fb97204945ca0c01bcf3eee6031c5f1,SP,monte alto,SP,1,1,fashion_bolsas_e_acessorios,1,1,200.0,16.0,16.0,11.0,1,False,False,False,0.28844444444444445
0006ec9db01a64e59a68b2c340bf65a7,74.0,23.32,7ed0ea20347f67fe61d1c99fdf8556ae,RJ,rio de janeiro,SP,1,1,cama_mesa_banho,1,1,1383.0,50.0,10.0,40.0,1,False,False,False,0.31513513513513514
0008288aa423d2a3f00fcb17cd7d8719,99.8,26.74,9e4159995424971423b98c4a8bc11529,SP,jandira,SP,1,1,ferramentas_jardim,1,1,3300.0,60.0,44.0,60.0,2,False,False,False,0.267935871743487
0009792311464db532ff765bf7b182ae,99.9,27.65,4987996ddcd0ddb20740fdce7c2bfbb1,MG,alfenas,PR,1,1,esporte_lazer,1,1,1050.0,40.0,20.0,30.0,1,False,False,False,0.27677677677677676
0009c9a17f916a706d71784483a5d643,639.0,11.34,6062db572f3ef38b7a8ff4307abbfad3,SP,campinas,SP,1,1,consoles_games,1,1,200.0,16.0,5.0,12.0,1,False,False,False,0.017746478873239435
